genome,common_name,Phylum,Class,Order,pmsf_family,new_family,Old_family,old_genus,new_genus,taxon_source,other,skani_cluster,mcl_cluster
IMGM3300010401_BIN64,NA,NA,Pokkesviricetes,Asfuvirales,AF_incertae_sedis,nAF_03,NA,NA,n_15,NA,,NA,NA
ERX552270-16,ERX552270.16.dc,Nucleocytoviricota,Pokkesviricetes,Asfuvirales,nAF_03,nAF_03,incertae_sedis,g38,g38,identical_markers,,S1340,MCL561
TARA_ARC_NCLDV_00074,NA,NA,Pokkesviricetes,Asfuvirales,nAF_03,nAF_03,NA,NA,n_16,NA,,NA,MCL624
IMGM3300045918_BIN834,NA,NA,Pokkesviricetes,Asfuvirales,nAF_03,nAF_03,NA,NA,n_17,NA,,NA,NA
bin_5406,NA,NA,Pokkesviricetes,Asfuvirales,nAF_03,nAF_03,NA,NA,n_18,NA,,NA,MCL846
GVMAG-M-3300023184-186,GVMAG-M-3300023184-186,Nucleocytoviricota,Pokkesviricetes,Asfuvirales,AF_01a,AF_01a,AF_01,g24,g24,identical_markers,,NA,MCL357
IMGM3300027707_BIN551,NA,NA,Pokkesviricetes,Asfuvirales,AF_01a,AF_01a,AF_01,g24,g24,MCL_clustered,,S1567,NA
GVMAG-M-3300023184-110,GVMAG-M-3300023184-110,Nucleocytoviricota,Pokkesviricetes,Asfuvirales,AF_01a,AF_01a,AF_01,g24,g24,identical_markers,,NA,NA
IMGM3300044826_BIN128,NA,NA,Pokkesviricetes,Asfuvirales,AF_01a,AF_01a,NA,NA,n_19,NA,,S2317,NA
IMGM3300037312_BIN279,NA,NA,Pokkesviricetes,Asfuvirales,AF_01a,AF_01a,NA,NA,n_20,NA,,NA,NA
IMGM3300037467_BIN814,NA,NA,Pokkesviricetes,Asfuvirales,AF_01a,AF_01a,NA,NA,n_20,NA,,NA,NA
IMGM3300049783_BIN849,NA,NA,Pokkesviricetes,Asfuvirales,AF_01b,AF_01b,NA,NA,g28,NA,,NA,NA
IMGM3300009436_BIN255,NA,NA,Pokkesviricetes,Asfuvirales,AF_01b,AF_01b,AF_01,g28,g28,MCL_clustered,,S1579,NA
IMGM3300022916_BIN642,NA,NA,Pokkesviricetes,Asfuvirales,AF_01b,AF_01b,NA,NA,n_21,NA,,S777,NA
GVMAG-M-3300022916-57,GVMAG-M-3300022916-57,Nucleocytoviricota,Pokkesviricetes,Asfuvirales,AF_01b,AF_01b,AF_01,g25,g25,identical_markers,,S654,NA
bin_5603,NA,NA,Pokkesviricetes,Asfuvirales,AF_01b,AF_01b,NA,NA,n_22,NA,,NA,NA
IMGM3300023179_BIN614,NA,NA,Pokkesviricetes,Asfuvirales,AF_01b,AF_01b,NA,NA,n_23,NA,,NA,NA
IMGM3300040782_BIN12,NA,NA,Pokkesviricetes,Asfuvirales,AF_01b,AF_01b,NA,NA,n_24,NA,,S819,NA
bin_4068,NA,NA,Pokkesviricetes,Asfuvirales,AF_01b,AF_01b,NA,NA,n_25,NA,,NA,NA
IMGM3300050249_BIN779,NA,NA,Pokkesviricetes,Asfuvirales,AF_01b,AF_01b,NA,NA,n_26,NA,,S2406,MCL236
IMGM3300018065_BIN246,NA,NA,Pokkesviricetes,Asfuvirales,AF_01b,AF_01b,NA,NA,n_27,NA,,S1924,NA
IMGM3300037321_BIN158,NA,NA,Pokkesviricetes,Asfuvirales,AF_01b,AF_01b,NA,NA,n_28,NA,,S2186,NA
IMGM3300002390_BIN4,NA,NA,Pokkesviricetes,Asfuvirales,AF_01b,AF_01b,NA,NA,n_29,NA,,S1697,MCL628
IMGM3300043393_BIN22,NA,NA,Pokkesviricetes,Asfuvirales,AF_01b,AF_01b,NA,NA,n_30,NA,,NA,NA
Af23,NA,NA,Pokkesviricetes,Asfuvirales,AF_01b,AF_01b,AF_01,g26,g26,MCL_clustered,,NA,MCL417
LCPAC101,NA,NA,Pokkesviricetes,Asfuvirales,AF_01b,AF_01b,NA,g76,g76,MCL_clustered,"from frame, through mcl: PM_09 g76 MCL_clustered",S1660,NA
AbALV,AbALV,Nucleocytoviricota,Pokkesviricetes,Asfuvirales,AF_01b,AF_01b,AF_01,g27,g27,identical_markers,,NA,NA
IMGM3300029995_BIN85,NA,NA,Pokkesviricetes,Asfuvirales,AF_01d,AF_01d,NA,NA,n_31,NA,,S794,NA
IMGM3300014204_BIN394,GVMAG-M-3300014204-45,Nucleocytoviricota,Pokkesviricetes,Asfuvirales,AF_01d,AF_01d,AF_01,g18,g18,identical_markers,,S1462,NA
IMGM3300027996_BIN40,NA,NA,Pokkesviricetes,Asfuvirales,AF_01d,AF_01d,NA,NA,n_32,NA,,S2010,NA
IMGM3300031918_BIN421,NA,NA,Pokkesviricetes,Asfuvirales,AF_01d,AF_01d,NA,NA,n_33,NA,,S581,NA
LKH577_P12_Am-87,NA,NA,Pokkesviricetes,Asfuvirales,AF_01d,AF_01d,NA,NA,n_34,NA,,NA,NA
IMGM3300025312_BIN648,NA,NA,Pokkesviricetes,Asfuvirales,AF_01d,AF_01d,NA,NA,n_35,NA,,S454,NA
IMGM3300023500_BIN95,NA,NA,Pokkesviricetes,Asfuvirales,AF_01d,AF_01d,NA,NA,n_36,NA,,NA,NA
IMGM3300013133_BIN465,NA,NA,Pokkesviricetes,Asfuvirales,AF_01d,AF_01d,AF_01,g23,g23,MCL_clustered,,S907,NA
GCA_003051145-1_ASM305114v1,Faustovirus strain=D5b,Nucleocytoviricota,Pokkesviricetes,Asfuvirales,AF_01d,AF_01d,AF_01,g22,g22,identical_markers,,S622,MCL338
IMGM3300050207_BIN493,NA,NA,Pokkesviricetes,Asfuvirales,AF_01d,AF_01d,NA,NA,n_36,NA,,NA,NA
IMGM3300037466_BIN826,NA,NA,Pokkesviricetes,Asfuvirales,AF_01d,AF_01d,NA,NA,n_37,NA,,NA,NA
IMGM3300017788_BIN976,NA,NA,Pokkesviricetes,Asfuvirales,AF_01d,AF_01d,NA,NA,n_38,NA,,NA,NA
SRX327722-61,SRX327722.61.dc,Nucleocytoviricota,Pokkesviricetes,Asfuvirales,AF_01d,AF_01d,AF_01,g21,g21,identical_markers,,NA,NA
IMGM3300046007_BIN926,NA,NA,Pokkesviricetes,Asfuvirales,AF_01d,AF_01d,NA,NA,n_39,NA,,NA,NA
IMGM3300045996_BIN2742,NA,NA,Pokkesviricetes,Asfuvirales,AF_01d,AF_01d,NA,NA,n_40,NA,,S2308,NA
IMGM3300043417_BIN6,NA,NA,Pokkesviricetes,Asfuvirales,AF_01d,AF_01d,NA,NA,n_41,NA,,NA,NA
IMGM3300043411_BIN415,NA,NA,Pokkesviricetes,Asfuvirales,AF_01d,AF_01d,NA,NA,n_42,NA,,NA,NA
IMGM3300050208_BIN2574,NA,NA,Pokkesviricetes,Asfuvirales,AF_01d,AF_01d,NA,NA,g20,NA,,NA,NA
GCA_002114025-1_ViralProj384397,Pacmanvirus A23 strain=A23,Nucleocytoviricota,Pokkesviricetes,Asfuvirales,AF_01d,AF_01d,AF_01,g20,g20,identical_markers,,S1395,MCL575
IMGM3300031339_BIN42,NA,NA,Pokkesviricetes,Asfuvirales,AF_01d,AF_01d,NA,NA,g20,NA,,NA,NA
IMGM3300045996_BIN2467,NA,NA,Pokkesviricetes,Asfuvirales,AF_01d,AF_01d,NA,NA,g19,proximity tree,,NA,NA
IMGM3300030673_BIN53,NA,NA,Pokkesviricetes,Asfuvirales,AF_01d,AF_01d,NA,NA,n_43,NA,,S2059,NA
IMGM3300043411_BIN340,NA,NA,Pokkesviricetes,Asfuvirales,AF_01d,AF_01d,NA,NA,n_43,,,NA,NA
IMGM3300047994_BIN507,NA,NA,Pokkesviricetes,Asfuvirales,AF_01d,AF_01c,NA,NA,n_44,NA,,S2384,NA
IMGM3300037245_BIN549,NA,NA,Pokkesviricetes,Asfuvirales,AF_01c,AF_01c,NA,NA,n_45,NA,,S2184,NA
IMGM3300024336_BIN22,NA,NA,Pokkesviricetes,Asfuvirales,AF_01c,AF_01c,NA,NA,n_46,NA,,NA,NA
IMGM3300042520_BIN418,NA,NA,Pokkesviricetes,Asfuvirales,AF_01c,AF_01c,NA,NA,n_47,NA,,NA,NA
IMGM3300028091_BIN29,NA,NA,Pokkesviricetes,Asfuvirales,AF_01c,AF_01c,NA,NA,n_48,NA,,NA,NA
GCA_002116175-1_ViralProj381648,Kaumoebavirus Sc,Nucleocytoviricota,Pokkesviricetes,Asfuvirales,AF_01e,AF_02,AF_01,g16,g16,identical_markers,monophyletic with AF_02,NA,MCL576
GVMAG-S-3300002466-141,GVMAG-S-3300002466-141,Nucleocytoviricota,Pokkesviricetes,Asfuvirales,AF_01e,AF_02,AF_01,g15,g15,identical_markers,,S1619,MCL615
IMGM3300050207_BIN170,NA,NA,Pokkesviricetes,Asfuvirales,AF_01e,AF_02,NA,NA,n_49,NA,,NA,NA
IMGM3300050206_BIN2483,NA,NA,Pokkesviricetes,Asfuvirales,AF_01e,AF_02,NA,NA,n_50,NA,same?,NA,NA
TARA_MED_NCLDV_00012,NA,NA,Pokkesviricetes,Asfuvirales,AF_01e,AF_02,NA,NA,n_50,NA,same?,NA,NA
bin_6771,NA,NA,Pokkesviricetes,Asfuvirales,AF_01e,AF_02,NA,NA,g17,NA,,NA,NA
GVMAG-M-3300027793-10,GVMAG-M-3300027793-10,Nucleocytoviricota,Pokkesviricetes,Asfuvirales,AF_01e,AF_02,AF_01,g17,g17,identical_markers,,S1577,NA
IMGM3300025117_BIN499,NA,NA,Pokkesviricetes,Asfuvirales,AF_02,AF_02,NA,NA,n_51,NA,,S1159,NA
IMGM3300009436_BIN195,NA,NA,Pokkesviricetes,Asfuvirales,AF_02,AF_02,AF_02,g35,g35,MCL_clustered,,S1440,NA
IMGM3300046318_BIN69,NA,NA,Pokkesviricetes,Asfuvirales,AF_02,AF_02,NA,NA,n_52,NA,,NA,NA
IMGM3300042904_BIN567,NA,NA,Pokkesviricetes,Asfuvirales,AF_02,AF_02,NA,NA,n_53,NA,,NA,NA
bin_4032,NA,NA,Pokkesviricetes,Asfuvirales,AF_02,AF_02,NA,NA,n_53,NA,,NA,NA
IMGM3300043393_BIN19,NA,NA,Pokkesviricetes,Asfuvirales,AF_02,AF_02,NA,NA,n_54,NA,,NA,NA
IMGM3300032019_BIN33,NA,NA,Pokkesviricetes,Asfuvirales,AF_02,AF_02,NA,NA,n_55,NA,,S1178,NA
IMGM3300009481_BIN210,NA,NA,Pokkesviricetes,Asfuvirales,AF_02,AF_02,NA,NA,n_56,NA,,NA,NA
IMGM3300042384_BIN453,NA,NA,Pokkesviricetes,Asfuvirales,AF_02,AF_02,NA,NA,n_57,NA,,NA,NA
GVMAG-M-3300010160-26,GVMAG-M-3300010160-26,Nucleocytoviricota,Pokkesviricetes,Asfuvirales,AF_02,AF_02,AF_02,g34,g34,identical_markers,,S903,MCL583
IMGM3300010368_BIN488,NA,NA,Pokkesviricetes,Asfuvirales,AF_02,AF_02,NA,NA,n_58,NA,,S1071,NA
IMGM3300022752_BIN1130,NA,NA,Pokkesviricetes,Asfuvirales,AF_02,AF_02,NA,NA,n_59,NA,,NA,NA
IMGM3300043418_BIN259,NA,NA,Pokkesviricetes,Asfuvirales,AF_02,AF_02,NA,NA,n_60,NA,,S290,NA
bin_5836,NA,NA,Pokkesviricetes,Asfuvirales,AF_02,AF_02,incertae_sedis,g36,g36,MCL_clustered,,S2215,MCL216
IMGM3300042895_BIN886,NA,NA,Pokkesviricetes,Asfuvirales,AF_02,AF_02,incertae_sedis,g37,g37,MCL_clustered,,S2300,MCL89
IMGM3300022309_BIN144,NA,NA,Pokkesviricetes,Asfuvirales,AF_02,AF_02,NA,NA,g14,NA,,NA,NA
IMGM3300024059_BIN108,NA,NA,Pokkesviricetes,Asfuvirales,AF_02,AF_02,incertae_sedis,g14,g14,MCL_clustered,,S941,NA
IMGM3300018416_BIN581,NA,NA,Pokkesviricetes,Asfuvirales,AF_02,AF_02,NA,NA,n_61,NA,,S1930,MCL688
IMGM3300037010_BIN437,NA,NA,Pokkesviricetes,Asfuvirales,AF_02,AF_02,NA,NA,g13,NA,,NA,NA
SRX319064-32,SRX319064.32.dc,Nucleocytoviricota,Pokkesviricetes,Asfuvirales,AF_02,AF_02,incertae_sedis,g13,g13,identical_markers,,NA,NA
IMGM3300024240_BIN121,NA,NA,Pokkesviricetes,Asfuvirales,AF_02,AF_02,NA,NA,g13,NA,,NA,MCL519
IMGM3300009436_BIN429,NA,NA,Pokkesviricetes,Asfuvirales,AF_02,AF_02,NA,NA,n_62,NA,,NA,NA
IMGM3300010430_BIN3128,NA,NA,Pokkesviricetes,Asfuvirales,AF_02,AF_02,NA,NA,n_63,NA,,NA,NA
IMGM3300020453_BIN240,NA,NA,Pokkesviricetes,Asfuvirales,AF_02,AF_02,NA,NA,n_64,NA,,NA,NA
IMGM3300051198_BIN2267,NA,NA,Pokkesviricetes,Asfuvirales,AF_02,AF_02,NA,NA,n_65,NA,,NA,NA
IMGM3300045996_BIN2321,NA,NA,Pokkesviricetes,Asfuvirales,AF_02,AF_02,NA,NA,n_66,NA,,NA,NA
TARA_SOC_NCLDV_00015,NA,NA,Pokkesviricetes,Asfuvirales,AF_02,AF_02,NA,NA,n_67,NA,,NA,NA
IMGM3300037336_BIN116,NA,NA,Pokkesviricetes,Asfuvirales,AF_02,AF_02,NA,NA,n_68,NA,,NA,NA
bin_2515,NA,NA,Pokkesviricetes,Asfuvirales,AF_02,AF_02,NA,NA,n_69,NA,,NA,MCL748
bin_3713,NA,NA,Pokkesviricetes,Asfuvirales,AF_02,AF_02,NA,,g33,,,NA,MCL786
IMGM3300040815_BIN285,NA,NA,Pokkesviricetes,Asfuvirales,AF_02,AF_02,AF_02,g32,g32,MCL_clustered,,NA,MCL120
IMGM3300044941_BIN54,NA,NA,Pokkesviricetes,Asfuvirales,AF_02,AF_02,NA,NA,n_70,NA,,NA,NA
LKH424_P07_Ci-163,NA,NA,Pokkesviricetes,Asfuvirales,AF_02,AF_02,NA,NA,n_71,NA,,NA,NA
IMGS3300050428_BIN77,NA,NA,Pokkesviricetes,Asfuvirales,AF_02,AF_02,NA,NA,n_71,NA,,NA,NA
bin_4369,NA,NA,Pokkesviricetes,Asfuvirales,AF_02,AF_02,NA,NA,n_71,NA,,NA,NA
IMGM3300023179_BIN721,NA,NA,Pokkesviricetes,Asfuvirales,AF_02,AF_02,NA,NA,n_71,NA,,NA,NA
IMGM3300032266_BIN160,NA,NA,Pokkesviricetes,Asfuvirales,AF_02,AF_02,NA,NA,n_72,NA,,NA,NA
bin_5578,NA,NA,Pokkesviricetes,Asfuvirales,AF_02,AF_02,NA,NA,n_73,NA,,NA,NA
IMGM3300032217_BIN29,NA,NA,Pokkesviricetes,Asfuvirales,AF_02,AF_02,AF_02,g31,g31,MCL_clustered,low support for genuses,S888,NA
IMGM3300037520_BIN179,NA,NA,Pokkesviricetes,Asfuvirales,AF_02,AF_02,NA,NA,n_74,NA,,NA,NA
IMGM3300042197_BIN2002,NA,NA,Pokkesviricetes,Asfuvirales,AF_02,AF_02,NA,NA,n_75,NA,,NA,MCL532
bin_5314,NA,NA,Pokkesviricetes,Asfuvirales,AF_02,AF_02,NA,NA,n_76,NA,,NA,NA
IMGM3300050195_BIN338,NA,NA,Pokkesviricetes,Asfuvirales,AF_02,AF_02,NA,NA,n_76,NA,,NA,NA
IMGM3300046004_BIN678,NA,NA,Pokkesviricetes,Asfuvirales,AF_02,AF_02,NA,NA,n_76,NA,,NA,NA
IMGM3300029449_BIN179,NA,NA,Pokkesviricetes,Egovirales,,Egovirales_incertae_sedis,NA,NA,n_77,NA,,NA,NA
IMGM3300025121_BIN286,NA,NA,Pokkesviricetes,Egovirales,,Egovirales_incertae_sedis,NA,NA,n_78,NA,,NA,NA
TONG22_1_SAMN15871402_BIN_00000024-contigs,NA,NA,Pokkesviricetes,Egovirales,Egovirales,Egoviridae,NA,NA,n_79,NA,,NA,NA
TONG22_1_SAMN15871273_BIN_00000043-contigs,NA,NA,Pokkesviricetes,Egovirales,Egovirales,Egoviridae,NA,NA,n_79,NA,,NA,NA
TONG22_1_SAMN15871004_BIN_00000001-contigs,NA,NA,Pokkesviricetes,Egovirales,Egovirales,Egoviridae,NA,NA,n_80,NA,,NA,NA
TONG22_1_SAMN15871115_BIN_00000056-contigs,NA,NA,Pokkesviricetes,Egovirales,Egovirales,Egoviridae,NA,NA,n_80,NA,,NA,NA
XIEF21_1_SAMN15830133_BIN_00000217-contigs,NA,NA,Pokkesviricetes,Egovirales,Egovirales,Egoviridae,NA,NA,n_80,NA,,NA,NA
XIEF21_1_SAMN15830103_BIN_00000045-contigs,NA,NA,Pokkesviricetes,Egovirales,Egovirales,Egoviridae,NA,NA,n_80,NA,,NA,NA
XIEF21_1_SAMN15830108_BIN_00000175-contigs,NA,NA,Pokkesviricetes,Egovirales,Egovirales,Egoviridae,NA,NA,n_80,NA,,NA,NA
TONG22_1_SAMN15871008_BIN_00000009-contigs,NA,NA,Pokkesviricetes,Egovirales,Egovirales,Egoviridae,NA,NA,n_81,NA,,NA,NA
LIUQ22_1_SAMN18817725_BIN_00000018-contigs,NA,NA,Pokkesviricetes,Egovirales,Egovirales,Egoviridae,NA,NA,n_81,NA,,NA,NA
ROVI19_1_SAMN06685549_BIN_00000135-contigs,NA,NA,Pokkesviricetes,Egovirales,Egovirales,Egoviridae,NA,NA,n_81,NA,,NA,NA
XIEF21_1_SAMN15829839_BIN_00000102-contigs,NA,NA,Pokkesviricetes,Egovirales,Egovirales,Egoviridae,NA,NA,n_81,NA,,NA,NA
TONG22_1_SAMN15871045_BIN_00000028-contigs,NA,NA,Pokkesviricetes,Egovirales,Egovirales,Egoviridae,NA,NA,n_81,NA,,NA,NA
TONG22_1_SAMN15871144_BIN_00000116-contigs,NA,NA,Pokkesviricetes,Egovirales,Egovirales,Egoviridae,NA,NA,n_81,NA,,NA,NA
XIEF21_1_SAMN15830104_BIN_00000002-contigs,NA,NA,Pokkesviricetes,Egovirales,Egovirales,Egoviridae,NA,NA,n_81,NA,,NA,NA
XIEF21_1_SAMN15830109_BIN_00000061-contigs,NA,NA,Pokkesviricetes,Egovirales,Egovirales,Egoviridae,NA,NA,n_81,NA,,NA,NA
LIUQ22_1_SAMN18817838_BIN_00000084-contigs,NA,NA,Pokkesviricetes,Egovirales,Egovirales,Egoviridae,NA,NA,n_81,NA,,NA,NA
LIUQ22_1_SAMN18817670_BIN_00000029-contigs,NA,NA,Pokkesviricetes,Egovirales,Egovirales,Egoviridae,NA,NA,n_81,NA,,NA,NA
VALL22_1_SAMEA10741491_METAG_scaffold_77-contigs,NA,NA,Pokkesviricetes,Egovirales,Egovirales,Egoviridae,NA,NA,n_82,NA,,NA,NA
VALL22_1_SAMEA10740724_BIN_00000029-contigs,NA,NA,Pokkesviricetes,Egovirales,Egovirales,Egoviridae,NA,NA,n_82,NA,,NA,NA
VALL22_1_SAMEA10740821_BIN_00000041-contigs,NA,NA,Pokkesviricetes,Egovirales,Egovirales,Egoviridae,NA,NA,n_82,NA,,NA,NA
VALL22_1_SAMEA10740760_BIN_00000093-contigs,NA,NA,Pokkesviricetes,Egovirales,Egovirales,Egoviridae,NA,NA,n_82,NA,,NA,NA
VALL22_1_SAMEA10741136_BIN_00000121-contigs,NA,NA,Pokkesviricetes,Egovirales,Egovirales,Egoviridae,NA,NA,n_82,NA,,NA,NA
MERR22_1_SAMEA4765909_S001_BIN_00000010-contigs,NA,NA,Pokkesviricetes,Egovirales,Egovirales,Egoviridae,NA,NA,n_82,NA,,NA,NA
MERR22_1_SAMEA4766167_S001_BIN_00000079-contigs,NA,NA,Pokkesviricetes,Egovirales,Egovirales,Egoviridae,NA,NA,n_82,NA,,NA,NA
MERR22_1_SAMEA4766261_S001_BIN_00000120-contigs,NA,NA,Pokkesviricetes,Egovirales,Egovirales,Egoviridae,NA,NA,n_82,NA,,NA,NA
MERR22_1_SAMEA4766262_S001_BIN_00000173-contigs,NA,NA,Pokkesviricetes,Egovirales,Egovirales,Egoviridae,NA,NA,n_82,NA,,NA,NA
MERR22_1_SAMEA4766262_S002_BIN_00000222-contigs,NA,NA,Pokkesviricetes,Egovirales,Egovirales,Egoviridae,NA,NA,n_82,NA,,NA,NA
LIJU20_1_SAMEA104395226_S001_BIN_00000294-contigs,NA,NA,Pokkesviricetes,Egovirales,Egovirales,Egoviridae,NA,NA,n_82,NA,,NA,NA
GAIO21_1_SAMN11097877_METAG_scaffold_79-contigs,NA,NA,Pokkesviricetes,Egovirales,Egovirales,Egoviridae,NA,NA,n_82,NA,,NA,NA
ANDE20_1_SAMEA4689046_BIN_00000498-contigs,NA,NA,Pokkesviricetes,Egovirales,Egovirales,Egoviridae,NA,NA,n_82,NA,,NA,NA
XIAO16_1_SAMEA3663087_METAG_scaffold_24-contigs,NA,NA,Pokkesviricetes,Egovirales,Egovirales,Egoviridae,NA,NA,n_82,NA,,NA,NA
GAIO21_1_SAMN11098114_METAG_scaffold_32-contigs,NA,NA,Pokkesviricetes,Egovirales,Egovirales,Egoviridae,NA,NA,n_82,NA,,NA,NA
GAIO21_1_SAMN11097887_METAG_scaffold_30-contigs,NA,NA,Pokkesviricetes,Egovirales,Egovirales,Egoviridae,NA,NA,n_82,NA,,NA,NA
MERR22_1_SAMEA4765988_S001_BIN_00000118-contigs,NA,NA,Pokkesviricetes,Egovirales,Egovirales,Egoviridae,NA,NA,n_82,NA,,NA,NA
MERR22_1_SAMEA4766053_S001_BIN_00000201-contigs,NA,NA,Pokkesviricetes,Egovirales,Egovirales,Egoviridae,NA,NA,n_82,NA,,NA,NA
STEW19_1_SAMEA5384020_BIN_00000065-contigs,NA,NA,Pokkesviricetes,Egovirales,Egovirales,Egoviridae,NA,NA,n_82,NA,,NA,NA
STEW18_1_SAMEA104153968_BIN_00000143-contigs,NA,NA,Pokkesviricetes,Egovirales,Egovirales,Egoviridae,NA,NA,n_82,NA,,NA,NA
STEW19_1_SAMEA5383951_BIN_00000307-contigs,NA,NA,Pokkesviricetes,Egovirales,Egovirales,Egoviridae,NA,NA,n_82,NA,,NA,NA
XIAO16_1_SAMEA3663029_BIN_00000107-contigs,NA,NA,Pokkesviricetes,Egovirales,Egovirales,Egoviridae,NA,NA,n_82,NA,,NA,NA
XIAO16_1_SAMEA3663027_BIN_00000066-contigs,NA,NA,Pokkesviricetes,Egovirales,Egovirales,Egoviridae,NA,NA,n_82,NA,,NA,NA
